Producto (SKU),Cantidad,Tarima
PER-ABUINF-100,64,1
PER-ABUINF-100,64,1
PER-ARMDOR-100,48,1
PER-BRIENV-100,64,1
PER-ELENOB-30,100,1
PER-ELEROM-100,48,1
PER-ELEROM-100,64,1
PER-ELEROM-100,64,1
PER-ELIPOD-100,64,1
PER-ELIPOD-100,64,1
PER-ELIPOD-100,64,1
PER-ELIPOD-30,40,1
PER-ELIPOD-30,100,1
PER-ESPCON-100,24,1
PER-ESPCON-100,64,1
PER-ESPCON-100,64,1
PER-HORAZU-100,48,1
PER-HORAZU-30,100,1
PER-JARCEL-100,24,1
PER-SUELUC-100,48,1
PER-SUELUC-100,48,1
PER-SUELUC-100,48,1
PER-SUELUC-100,48,1
PER-SUELUC-100,48,1
PER-SUELUC-30,40,1
PER-SUELUC-30,100,1
